GeneID,logFC,logCPM,F,PValue,adj.p,comparision,expression
HORVU.MOREX.r2.5HG0406540,-2.174506450144133,4.376790491936378,23.381995346850186,4.2591434584550566e-4,0.006772487612765013,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0406560,-2.0198964610336945,-0.0910446710475516,9.939190253463837,0.008474952890223146,0.04508876944862484,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0406570,-1.667284366557218,2.0559186399703964,30.336651567767976,1.4202414063495885e-4,0.0034671180379515997,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0406720,-1.213055095114669,1.353401907211751,10.271830636576654,0.007695734358461264,0.04228706916915141,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0406860,1.1219865744029476,5.177804266882044,29.46847263699278,1.611537733820078e-4,0.003746164764847329,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0406960,-1.041292243781647,5.7718292528203055,22.905426239337434,4.629507233811014e-4,0.007093677930236975,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0407080,2.9757095776414615,8.989356877007735,54.67299936184161,9.092069497076544e-6,8.462294490213404e-4,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0407160,-1.0503610208922545,4.555810498562831,51.93855911889973,1.1698857903660454e-5,9.347671960877826e-4,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0407260,1.7050761696216952,4.9598278509682,13.832766058111925,0.003004116488759015,0.022599962772998083,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0407340,1.5773716629870793,3.304403546372017,35.125519560913496,7.399787401856457e-5,0.002480935676066088,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0407350,3.4508291562297138,1.8758494987783072,100.41988020230244,3.9753596910581203e-7,2.903940021595365e-4,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0407360,4.108920770113474,3.1233269213338875,29.108789774873678,1.6995247541660402e-4,0.0038796158829475917,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0407370,4.997978969224664,2.6253104104544014,53.93258208398936,9.724072048357547e-6,8.68179558510026e-4,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0408070,-1.7898490448289452,2.328383616205039,10.568291322882684,0.007071601571458871,0.039736136942095,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0408110,-3.518713105892821,-1.9627220487608499,15.259982278325833,0.002143914363581734,0.018302916884181016,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0408250,1.4416421748573307,1.8079908889080687,14.253305917279803,0.0027142114523821055,0.02122243959491503,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0408710,-1.2578634713406565,1.2620131927706213,13.933620718285601,0.0029314036630694452,0.022298648375497648,GABA v.s. Control,Down
HORVU.MOREX.r2.5HG0408950,1.8674149147646586,0.7315529849437428,15.554633485081041,0.0020044877986942927,0.017494635363984296,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0409170,4.581225078277895,-1.6527124568944516,9.566515104400478,0.009461124406937515,0.04836087043122047,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0409640,1.5110898270733761,4.0174873210132676,16.851269825840937,0.001504498588508762,0.014536049288413715,GABA v.s. Control,Up
HORVU.MOREX.r2.5HG0409680,1.4539521967950637,4.998479186332761,18.593964585403825,0.0010449696426728312,0.011581626761504031,GABA v.s. Control,Up
